parkID,type,entity,cost,payment_modality,description
alca,Entrance,Any,0.0,None,"Ferry tickets are required to visit Alcatraz Island. Make reservations in advance, especially during the summer and around holidays. For ferry schedules, prices, and to purchase tickets, please visit the Alcatraz City Cruises website. Ferry tickets include transportation back and forth, the cellhouse audio tour provided by the Golden Gate National Parks Conservancy, and the Federal Lands Recreation Enhancement Act fee."
buov,Entrance,Any,0.0,None,"An entrance pass is not required to access Butterfield Overland National Historic Trail. Other National Park Service sites may require an entrance pass or fee. Depending on your trip plans, an interagency pass may save you money. There are no user or entry fees for the Butterfield Overland National Historic Trail. Nominal fees may be charged at some trail-related federal, state, or locally owned historic sites and interpretive facilities. Please contact individual sites for more specific fee information."
cabr,Entrance , Private Vehicle,20.0,Cash or card,"Admits one single, private, non-commercial vehicle and all its passengers."
cabr,Entrance , Motorcycle,15.0,Cash or card,"Admits one single, private, non-commercial motorcycle and its passenger(s)."
cabr,Entrance , Per Person,10.0,Cash or card,"Admits one individual when entering by foot or bicycle. Groups of up to 4 people walking in or on bicycles are capped at $20 total.

Individuals 15 years old and younger are admitted free of charge."
cabr,Commercial Entrance , Sedan,30.0,Cash or card,1 to 6 / ($30)
cabr,Commercial Entrance , Van,45.0,Cash or card,7 to 25 / ($45)
cabr,Commercial Entrance , Mini-bus,45.0,Cash or card,7 to 25 / ($45)
cabr,Commercial Entrance , Motor Coach,100.0,Cash or card,26 or more / ($100)
cabr,Entrance , Non-commercial Groups,20.0,Cash or card,"Organized Non-Commercial Groups include church groups, college/school groups, scouts, service organizations, military, etc.
Vehicles with a capacity of 16 or less are charged the $20.00 vehicle permit fee. Vehicles with 17 or more seats will instead be charged the $10 per person individual rate for any passengers that are not free. The total fee charged for an Organized Non-Commercial Group will not exceed $100 per vehicle."
cali,Entrance,Any,0.0,None,"There are no user or entry fees for the California National Historic Trail. Nominal fees may be charged at some trail-related federal, state, or locally owned historic sites and interpretive facilities. Please contact individual sites for more specific fee information."
camo,Entrance,Any,0.0,None,Castle Mountains National Monument does not require an entrance fee.
cech,Entrance,Any,0.0,None,
chis,Entrance,Any,0.0,None,
depo,Entrance,Any,0.0,None,"Nearly all visitors must use a shuttle bus (with fee) to visit Devils Postpile. For those excepted from the shuttle requirement, Inyo National Forest charges an entrance fee to Reds Meadow Valley, which you must pay in order to drive to Devils Postpile."
deva,Entrance , Private Vehicle,30.0,Card only,"This permit allows all persons traveling with the permit holder in one single private, non-commercial vehicle (car/truck/van/RV/aircraft) to leave and re-enter the park as many times as they wish during the 7-day period from the date of purchase."
deva,Entrance , Motorcycle,25.0,Card only,This permit allows persons traveling on one motorcycle to leave and re-enter the park as many times as they wish during the 7-day period from the date of purchase.
deva,Entrance , Per Person,15.0,Card only,This permit allows a single individual traveling on foot or individuals traveling on one bicycle to leave and re-enter the park as many times as they wish during the 7-day period from the date of purchase.
deva,Commercial Entrance , Per Person,10.0,Card only,"1 - 6 Passenger Vehicle: $25 + $10 per person.

In addition to the entrance fees listed below, additional permits are required for commercial groups, special park uses (weddings, memorialization, group events, etc.), commercial film and photography, research, and more."
deva,Commercial Entrance , Sedan,25.0,Card only,"1 - 6 Passenger Vehicle: $25 + $10 per person

In addition to the entrance fees listed below, additional permits are required for commercial groups, special park uses (weddings, memorialization, group events, etc.), commercial film and photography, research, and more."
deva,Commercial Entrance , Van,75.0,Card only,"7 - 15 Passenger Vehicle: $75

In addition to the entrance fees listed below, additional permits are required for commercial groups, special park uses (weddings, memorialization, group events, etc.), commercial film and photography, research, and more."
deva,Commercial Entrance , Mini-bus,100.0,Card only,"16 - 25 Passenger Vehicle: $100

In addition to the entrance fees listed below, additional permits are required for commercial groups, special park uses (weddings, memorialization, group events, etc.), commercial film and photography, research, and more."
deva,Commercial Entrance , Motor Coach,200.0,Card only,"26 + Passenger Vehicle: $200

In addition to the entrance fees listed below, additional permits are required for commercial groups, special park uses (weddings, memorialization, group events, etc.), commercial film and photography, research, and more."
deva,Entrance , Non-commercial Groups,15.0,Card only,"Non-commercial Groups (e.g., Scout groups, church groups, etc.) entering in a vehicle with a capacity of 16 persons or more are charged per-person for each person on board, not to exceed $200."
deva,Entrance , Education/Academic Groups,0.0,Card only,"National Park Service regulations allow school groups and other approved national and international academic institutions to obtain a waiver of Park entrance fees, provided that visit is for educational or scientific purposes, and the resources or facilities that the group intends to use, support those purposes. Submit your waiver through the link below at least one month prior to your visit."
deva,Annual Pass,Any,55.0,Card only,"This pass allows all persons traveling with the pass holder in one single private, non-commercial vehicle (car/truck/van) or those on a motorcycle to leave and re-enter the park as many times as they wish for 12 months from the month of purchase. Credit/Debit Only at all NPS locations"
euon,Entrance,Any,0.0,None,
fopo,Entrance,Any,0.0,None,
goga,Entrance,Any,0.0,None,Muir Woods is the only location in the park that requires an entrance fee of $15 per person (Ages 16+). Alcatraz has a fee for the ferry. For ferry fee info visit the link below. www.cityexperiences.com/san-francisco/city-cruises/alcatraz/
jomu,Entrance,Any,0.0,None,
jotr,Entrance , Private Vehicle,30.0,Cash or card,"7-day vehicle permit, admitting the passengers of a single, non-commercial vehicle on the day of purchase and for the next six days."
jotr,Entrance , Motorcycle,25.0,Cash or card,"7-day entrance permit, per motorcycle."
jotr,Entrance , Per Person,15.0,Cash or card,"7-day entrance fee, per person on foot or bike."
jotr,Annual Pass,Any,55.0,Cash or card,"This pass is valid for 12 months from the month of purchase. It covers the entrance fee to Joshua Tree National Park for the pass signee and accompanying passengers entering in a single, non-commercial vehicle. Joshua Tree Annual Passes are available at park entrance stations and visitor centers. The pass can be purchased on recreation.gov or in person at park visitor centers and entrance stations. The entrance stations are cashless and only allow for credit card purchases."
juba,Entrance,Any,0.0,None,"The Juan Bautista de Anza National Historic Trail crosses over 1200 miles from Nogales, AZ to San Francisco, CA. Please check with the local site administrator or land manager when visiting the trail to inquire about fees for entry. For example, California or Arizona State Parks for trail sections within State Park boundaries; local tribal, city or county governments; and federal land agencies."
labe,Entrance , Private Vehicle,25.0,Cash or card,Park Entrance is $25 per vehicle and is good for 7 days.
labe,Entrance , Motorcycle,20.0,Cash or card,Park entrance for motorcycles is $20 per motorcycles and is good for 7 days.
labe,Entrance , Per Person,15.0,Cash or card,Park Entrance is $15 per person and is good for 7 days.
labe,Annual Pass,Any,55.0,Cash or card,"Lava Beds National Monument, Crater Lake National Park, Lassen Volcanic National Park, and Whiskeytown National Recreation Area all share an annual pass. It is $55.00 and is valid for a year from the date of purchase. You can pay with cash or card at the visitor center year-round, and at the entrance station in the summer."
lavo,Entrance , Private Vehicle,30.0,Card only,"Admits one private, non-commercial vehicle. Valid for up to 7 consecutive days from day of purchase at Lassen Volcanic National Park. When entrance station is not staffed, digital passes may be purchased online at recreation.gov."
lavo,Entrance , Private Vehicle,10.0,Card only,"Discounted entry fee during winter. Admits one private, non-commercial vehicle. Valid for up to 7 consecutive days from day of purchase at Lassen Volcanic National Park. When entrance station is not staffed, digital passes may be purchased online at recreation.gov."
lavo,Entrance , Motorcycle,25.0,Card only,"Admits one private, non-commercial motorcycle and its riders. Valid for up to 7 consecutive days from day of purchase at Lassen Volcanic National Park. When entrance station is not staffed, digital passes may be purchased online at recreation.gov."
lavo,Entrance , Per Person,15.0,Card only,"Per-person entrance fee used to admit one person on foot or bicycle. Also used for individuals traveling together in a vehicle as a non-commercial, organized group. Valid for up to 7 consecutive days from day of purchase at Lassen Volcanic National Park. When entrance station is not staffed, digital passes may be purchased online at recreation.gov."
lavo,Entrance , Education/Academic Groups,0.0,Card only,Park entrance fees are waived for eligible academic groups with approved fee waiver application. Applications must be submitted at least two weeks prior to park visit.
lavo,Commercial Entrance , Sedan,25.0,Card only,"Valid for up to 7 consecutive days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. The entry fees are based upon the total seating capacity of vehicles regardless of the actual number of passengers. Annual or lifetime passes are not accepted."
lavo,Commercial Entrance , Van,50.0,Card only,"Valid for up to 7 consecutive days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. The entry fees are based upon the total seating capacity of vehicles regardless of the actual number of passengers. Annual or lifetime passes are not accepted."
lavo,Commercial Entrance , Mini-bus,60.0,Card only,"Valid for up to 7 consecutive days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. The entry fees are based upon the total seating capacity of vehicles regardless of the actual number of passengers. Annual or lifetime passes are not accepted."
lavo,Commercial Entrance , Motor Coach,150.0,Card only,"Valid for up to 7 consecutive days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. The entry fees are based upon the total seating capacity of vehicles regardless of the actual number of passengers. Annual or lifetime passes are not accepted."
lavo,Entrance , Motorcycle,10.0,Card only,"Discounted entry fee for winter. Admits one private, non-commercial motorcycle and its riders. Valid for up to 7 consecutive days from day of purchase at Lassen Volcanic National Park. When entrance station is not staffed, digital passes may be purchased online at recreation.gov."
lavo,Entrance , Per Person,10.0,Card only,"Discounted entry fee for winter. Per-person entrance fee used to admit one person on foot or bicycle. Also used for individuals traveling together in a vehicle as a non-commercial, organized group. Valid for up to 7 consecutive days from day of purchase at Lassen Volcanic National Park. When entrance station is not staffed, digital passes may be purchased online at recreation.gov."
